Name,Sample_Name,Group_code,Date,Time,Latitude,Longitude,Altitude
210713_00204.sed:C4,_black_SPRUCE_,BS,7/13/2021,_14_10_12_14_12_42,64.70274,-148.31299,133.5
210713_00205.sed:C4,_black_SPRUCE_,BS,7/13/2021,_14_10_12_14_13_18,64.70274,-148.31298,133.6
210713_00206.sed:C4,_black_SPRUCE2,BS,7/13/2021,_14_10_12_14_14_37,64.70274,-148.31292,133.9
210713_00207.sed:C4,_black_SPRUCE2,BS,7/13/2021,_14_10_12_14_15_16,64.70274,-148.31293,134.3
210713_00208.sed:C4,_black_SPRUCE2,BS,7/13/2021,_14_10_12_14_15_37,64.70274,-148.31293,134.4
210713_00209.sed:C4,_black_SPRUCE2,BS,7/13/2021,_14_10_12_14_16_03,64.70274,-148.31292,134.4
210713_00210.sed:C4,_black_SPRUCE2,BS,7/13/2021,_14_10_12_14_16_40,64.70274,-148.31293,134.6
210713_00211.sed:C4,blueberry,BB,7/13/2021,_14_18_26_14_19_00,64.70273,-148.31297,133.8
210713_00212.sed:C4,blueberry,BB,7/13/2021,_14_18_26_14_19_26,64.70273,-148.31297,133.7
210713_00213.sed:C4,blueberry,BB,7/13/2021,_14_18_26_14_19_49,64.70273,-148.31297,133.6
210713_00214.sed:C4,blueberry,BB,7/13/2021,_14_18_26_14_20_19,64.70273,-148.31296,133.3
210713_00215.sed:C4,blueberry,BB,7/13/2021,_14_18_26_14_20_47,64.70273,-148.31294,133
210713_00216.sed:C4,betula_nana,DB,7/13/2021,_14_18_26_14_22_11,64.70272,-148.31287,132.6
210713_00217.sed:C4,betula_nana,DB,7/13/2021,_14_18_26_14_22_31,64.70272,-148.31287,132.6
210713_00218.sed:C4,betula_nana,DB,7/13/2021,_14_18_26_14_22_51,64.70272,-148.31287,132.6
210713_00219.sed:C4,betula_nana,DB,7/13/2021,_14_18_26_14_23_29,64.70272,-148.31287,132.3
210713_00220.sed:C4,betula_nana,DB,7/13/2021,_14_18_26_14_23_54,64.70272,-148.31287,132
210713_00221.sed:C4,lab_tea,LT,7/13/2021,_14_27_32_14_28_04,64.70269,-148.31314,133
210713_00222.sed:C4,lab_tea,LT,7/13/2021,_14_27_32_14_28_33,64.70269,-148.31314,132.9
210713_00223.sed:C4,lab_tea,LT,7/13/2021,_14_27_32_14_28_59,64.70269,-148.31314,133.1
210713_00224.sed:C4,lab_tea,LT,7/13/2021,_14_27_32_14_29_37,64.70271,-148.31314,133.5
210713_00225.sed:C4,lab_tea,LT,7/13/2021,_14_27_32_14_30_01,64.70272,-148.31314,134.1
210713_00226.sed:C4,_lbetula_nana2,DB,7/13/2021,_14_35_03_14_35_59,64.70264,-148.31299,131
210713_00227.sed:C4,_lbetula_nana2,DB,7/13/2021,_14_35_03_14_36_55,64.70264,-148.31299,131.5
210713_00228.sed:C4,_lbetula_nana2,DB,7/13/2021,_14_35_03_14_37_22,64.70263,-148.31299,131.5
210713_00229.sed:C4,_lbetula_nana2,DB,7/13/2021,_14_35_03_14_37_56,64.70263,-148.31301,131.6
210713_00230.sed:C4,_lbetula_nana2,DB,7/13/2021,_14_35_03_14_38_46,64.70264,-148.313,131.7
alder_00011.sed:C4,_alder,Al,8/5/2021,_10_59_41_11_00_26,64.86025,-147.85264,196.5
alder_00012.sed:C4,_alder,Al,8/5/2021,_10_59_41_11_00_51,64.86024,-147.85263,195.4
alder_00013.sed:C4,_alder_,Al,8/5/2021,_10_59_41_11_01_08,64.86024,-147.85263,194.9
alder_00014.sed:C4,_alder,Al,8/5/2021,_10_59_41_11_01_23,64.86024,-147.85264,194.7
alder_00015.sed:C4,_alder,Al,8/5/2021,_10_59_41_11_01_38,64.86024,-147.85263,194.3
alder__00016.sed:C4,_alder,Al,8/2/2021,_13_16_16_13_18_02,64.86196,-147.86471,172.4
alder__00017.sed:C4,_alder,Al,8/2/2021,_13_16_16_13_18_20,64.86197,-147.86471,171.8
alder__00018.sed:C4,_alder,Al,8/2/2021,_13_16_16_13_19_02,64.86199,-147.86472,174.4
alder__00019.sed:C4,alder_,Al,8/2/2021,_13_16_16_13_19_50,64.86199,-147.86472,175
alder__00020.sed:C4,_alder,Al,8/2/2021,_13_16_16_13_20_18,64.86199,-147.8647,175.2
aspeninfected_00021.sed:C4,_aspen_infected,Ai,8/5/2021,_11_11_05_11_11_50,64.85795,-147.85466,191.8
aspeninfected_00022.sed:C4,_aspen_infected,Ai,8/5/2021,_11_11_05_11_12_07,64.85795,-147.85466,191.8
aspeninfected_00023.sed:C4,_aspen_infected,Ai,8/5/2021,_11_11_05_11_12_26,64.85795,-147.85466,191.6
aspeninfected_00024.sed:C4,_aspen_infected,Ai,8/5/2021,_11_11_05_11_12_39,64.85795,-147.85466,191.6
aspeninfected_00025.sed:C4,_aspen_infected,Ai,8/5/2021,_11_11_05_11_12_51,64.85795,-147.85466,191.5
aspeninfected_00026.sed:C4,_aspen_infected,Ai,8/5/2021,_11_21_08_11_21_54,64.85762,-147.85538,186.1
aspeninfected_00027.sed:C4,aspen_infected_,Ai,8/5/2021,_11_21_08_11_22_08,64.85762,-147.85538,186.1
aspeninfected_00028.sed:C4,_aspen_infected,Ai,8/5/2021,_11_21_08_11_22_29,64.85763,-147.85539,186.4
aspeninfected_00029.sed:C4,_aspen_infected,Ai,8/5/2021,_11_21_08_11_22_46,64.85763,-147.85539,186.7
aspeninfected_00030.sed:C4,_aspen_infected,Ai,8/5/2021,_11_21_08_11_23_11,64.85764,-147.85539,187.1
asphalt2_00011.sed:C4,_asphalt,As,8/5/2021,_10_37_15_10_37_33,64.86024,-147.8507,192
asphalt2_00012.sed:C4,_asphalt,As,8/5/2021,_10_37_15_10_37_45,64.86024,-147.8507,192.1
asphalt2_00013.sed:C4,_asphalt,As,8/5/2021,_10_37_15_10_37_58,64.86024,-147.85072,191.5
asphalt2_00014.sed:C4,_asphalt_,As,8/5/2021,_10_37_15_10_38_11,64.86024,-147.85073,191.5
asphalt2_00015.sed:C4,_asphalt,As,8/5/2021,_10_37_15_10_38_26,64.86025,-147.85074,192
asphalt__00001.sed:C4,_asphalt_,As,8/5/2021,_10_42_18_10_42_45,64.86028,-147.85069,193.3
asphalt__00002.sed:C4,_asphalt,As,8/5/2021,_10_42_18_10_42_57,64.86028,-147.85069,193.5
asphalt__00003.sed:C4,_asphalt,As,8/5/2021,_10_42_18_10_43_10,64.86028,-147.85069,193.7
asphalt__00004.sed:C4,_asphalt,As,8/5/2021,_10_42_18_10_43_20,64.86029,-147.85069,194
asphalt__00005.sed:C4,_asphalt_,As,8/5/2021,_10_42_18_10_43_28,64.86029,-147.85069,194.1
asphaltdark_00006.sed:C4,_asphalt_dark_,As,8/5/2021,_10_39_57_10_40_22,64.86023,-147.85071,193.2
asphaltdark_00007.sed:C4,_asphalt_dark_,As,8/5/2021,_10_39_57_10_40_32,64.86023,-147.85071,193
